,description,go_BioProc,go_CellComp,go_MolFunc,proteinname,sysname
122,"Large subunit of carbamoyl phosphate synthetase, which catalyzes a step in the synthesis of citrulline, an arginine precursor",urea cycle,cytoplasm,nucleotide binding,CPA2,YJR109C
123,"Homolog of nuclear distribution factor NudE, NUDEL; interacts with Pac1p and regulates dynein targeting to microtubule plus ends",transport,nucleus,microtubule plus-end binding,NDL1,YLR254C
124,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl11Ap; involved in ribosomal assembly; depletion causes degradation of proteins and RNA of the 60S subunit; has similarity to E. coli L5 and rat L11",ribosomal large subunit assembly,intracellular,RNA binding,RPL11B,YGR085C
125,RNA binding protein that negatively regulates growth rate; interacts with the 3' UTR of the mitochondrial porin (POR1) mRNA and enhances its degradation; overexpression impairs mitochondrial function; expressed in stationary phase,mitochondrion organization,P-body,nucleotide binding,NGR1,YBR212W
126,"Protein of unknown function that influences nuclear pore distribution; co-purifies with ribosomes; contains a GYF domain, which bind proline-rich sequences; deletion extends chronological lifespan",nuclear pore distribution,P-body,molecular_function unknown,SYH1,YPL105C
127,"Essential nucleolar protein, required for biogenesis of the small ribosomal subunit; contains WD repeats, interacts with Mpp10p and Bfr2p, and has homology to Spb1p","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",nucleus,molecular_function unknown,ENP2,YGR145W
128,Mitochondrial cardiolipin-specific phospholipase; functions upstream of Taz1p to generate monolyso-cardiolipin; transcription increases upon genotoxic stress; involved in restricting Ty1 transposition; has homology to mammalian CGI-58,cardiolipin metabolic process,mitochondrion,phospholipase A2 activity,CLD1,YGR110W
129,"NAD(+)-dependent glutamate dehydrogenase, degrades glutamate to ammonia and alpha-ketoglutarate; expression sensitive to nitrogen catabolite repression and intracellular ammonia levels",cellular amino acid metabolic process,mitochondrion,nucleotide binding,GDH2,YDL215C
130,Subunit of U3-containing Small Subunit (SSU) processome complex involved in production of 18S rRNA and assembly of small ribosomal subunit,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",nucleus,molecular_function unknown,UTP11,YKL099C
131,Phosphopantetheinyl transferase involved in lysine biosynthesis; converts inactive apo-form of Lys2p (alpha-aminoadipate reductase) into catalytically active holo-form by posttranslational addition of phosphopantetheine,macromolecule biosynthetic process,cytoplasm,magnesium ion binding,LYS5,YGL154C
132,Putative cell wall mannoprotein of the Srp1p/Tip1p family of serine-alanine-rich proteins; transcription is induced by cold shock and anaerobiosis,response to stress,fungal-type vacuole,molecular_function unknown,TIR2,YOR010C
133,"Inositol 1,3,4,5,6-pentakisphosphate 2-kinase, nuclear protein required for synthesis of 1,2,3,4,5,6-hexakisphosphate (phytate), which is integral to cell function; has 2 motifs conserved in other fungi; ipk1 gle1 double mutant is inviable",phosphorylation,nucleus,nucleotide binding,IPK1,YDR315C
134,SUMO E3 ligase; required for synaptonemal complex formation; localizes to synapsis initiation sites on meiotic chromosomes; potential Cdc28p substrate,DNA repair,nuclear chromosome,chromatin binding,CST9,YLR394W
135,Alpha-isopropylmalate synthase (2-isopropylmalate synthase); the main isozyme responsible for the first step in the leucine biosynthesis pathway,cellular amino acid biosynthetic process,cytoplasm,catalytic activity,LEU4,YNL104C
136,RNA polymerase III subunit C31,regulation of transcription from RNA polymerase III promoter,nuclear chromatin,RNA polymerase III activity,RPC31,YNL151C
137,Cytoplasmic protein localized to the shmoo tip; required for the alignment of parental nuclei before nuclear fusion during mating,karyogamy involved in conjugation with cellular fusion,intracellular,molecular_function unknown,FUS2,YMR232W
138,"Putative vacuolar Fe2+/Mn2+ transporter; suppresses respiratory deficit of yfh1 mutants, which lack the ortholog of mammalian frataxin, by preventing mitochondrial iron accumulation",transport,Golgi membrane,manganese ion transmembrane transporter activity,CCC1,YLR220W
139,Putative membrane-localized protein of unknown function,biological_process unknown,fungal-type vacuole,molecular_function unknown,YNR066C,YNR066C
140,"ADP/ATP transporter; member of the Ca2+-binding subfamily of mitochondrial carriers, with two EF-hand motifs; transport activity of either Sal1p or Pet9p is critical for viability; polymorphic in different S. cerevisiae strains",transport,mitochondrion,ATP,SAL1,YNL083W
141,"Putative mannosidase, essential glycosylphosphatidylinositol (GPI)-anchored membrane protein required for cell wall biogenesis in bud formation, involved in filamentous growth, homologous to Dcw1p",budding cell bud growth,endoplasmic reticulum,molecular_function unknown,DFG5,YMR238W
142,Putative type-1 protein phosphatase targeting subunit that tethers Glc7p type-1 protein phosphatase to Gsy2p glycogen synthase,regulation of glycogen biosynthetic process,cytoplasm,protein phosphatase regulator activity,PIG2,YIL045W
143,"ATP (CTP):tRNA-specific tRNA nucleotidyltransferase; different forms targeted to the nucleus, cytosol, and mitochondrion are generated via the use of multiple transcriptional and translational start sites",tRNA 3'-terminal CCA addition,nucleus,nucleotide binding,CCA1,YER168C
144,"Dicarboxylic amino acid permease, mediates high-affinity and high-capacity transport of L-glutamate and L-aspartate; also a transporter for Gln, Asn, Ser, Ala, and Gly",amino acid transmembrane transport,fungal-type vacuole,L-glutamate transmembrane transporter activity,DIP5,YPL265W
145,"Protein of unknown function required for proliferation or remodeling of the ER that is caused by overexpression of Hmg2p; may interact with ribosomes, based on co-purification experiments",endoplasmic reticulum organization,cytoplasm,molecular_function unknown,HER1,YOR227W
146,Bifunctional enzyme with triacylglycerol lipase and lysophosphatidic acid acyltransferase activity; involved in triacylglycerol mobilization; localizes to lipid particles; potential Cdc28p substrate,lipid metabolic process,lipid particle,triglyceride lipase activity,TGL5,YOR081C
147,"RNA binding protein, part of U3 snoRNP involved in rRNA processing, part of U4/U6-U5 tri-snRNP involved in mRNA splicing, similar to human 15.5K protein","mRNA splicing, via spliceosome",nucleus,RNA binding,SNU13,YEL026W
148,"Nucleolar protein required for maturation of 18S rRNA, member of the eIF4A subfamily of DEAD-box ATP-dependent RNA helicases","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",nucleus,nucleotide binding,FAL1,YDR021W
149,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data",biological_process unknown,cellular_component unknown,molecular_function unknown,YGR050C,YGR050C
150,"Mitochondrial tRNA:pseudouridine synthase; acts at positions 27 and 28, but not at position 72; efficiently and rapidly targeted to mitochondria, specifically dedicated to mitochondrial tRNA modification",pseudouridine synthesis,nucleus,RNA binding,PUS2,YGL063W
151,"tRNA:pseudouridine synthase, introduces pseudouridines at positions 26-28, 34-36, 65, and 67 of tRNA; nuclear protein that appears to be involved in tRNA export; also acts on U2 snRNA",pseudouridine synthesis,nucleus,RNA binding,PUS1,YPL212C
152,"Alpha-glucosidase with specificity for isomaltase, methyl-alpha-glucoside, and palatinose; member of IMA isomaltase family; not required for isomaltose utilization, but Ima2p overexpression allows the ima1 null mutant to grow on isomaltose",maltose metabolic process,cellular_component unknown,catalytic activity,IMA2,YOL157C
153,"Guanine nucleotide exchange factor (GEF) for Arf proteins; promotes activation of Arl1p, which recruits Imh1p to the Golgi; involved in vesicular transport; member of the Sec7-domain family; contains a PH domain",protein targeting to Golgi,Golgi membrane,guanyl-nucleotide exchange factor activity,SYT1,YPR095C
154,"Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, essential protein that is required for the assembly of actin and tubulins in vivo; contains an ATP-binding motif",protein folding,cytoplasm,nucleotide binding,CCT6,YDR188W
155,"Protein involved in regulation of sterol biosynthesis; specifically stabilizes Hmg2p, one of two HMG-CoA isoenzymes that catalyze the rate-limiting step in sterol biosynthesis; homolog of mammalian INSIG proteins",sterol biosynthetic process,nucleus,unfolded protein binding,NSG1,YHR133C
156,"Protein involved in pre-rRNA processing, 18S rRNA synthesis, and snoRNA synthesis; component of the small subunit processome complex, which is required for processing of pre-18S rRNA",rRNA modification,nucleus,molecular_function unknown,NOP58,YOR310C
157,"Mitochondrial protein, forms a heterodimer complex with Mss1p that performs the 5-carboxymethylaminomethyl modification of the wobble uridine base in mitochondrial tRNAs; required for respiration in paromomycin-resistant 15S rRNA mutants",tRNA wobble uridine modification,mitochondrion,molecular_function unknown,MTO1,YGL236C
158,Protein involved in Rad1p/Rad10p-dependent removal of 3'-nonhomologous tails during double-strand break repair via single-strand annealing; green fluorescent protein (GFP)-fusion protein localizes to the nucleus,"double-strand break repair via single-strand annealing, removal of nonhomologous ends",nucleus,flap-structured DNA binding,SAW1,YAL027W
159,"Inositol hexakisphosphate (IP6) and inositol heptakisphosphate (IP7) kinase; generation of high energy inositol pyrophosphates by Kcs1p is required for many processes such as vacuolar biogenesis, stress response and telomere maintenance",regulation of inositol phosphate biosynthetic process,cytoplasm,nucleotide binding,KCS1,YDR017C
160,Integral ER membrane protein with type-III transmembrane domains; mutations cause defects in cortical ER morphology in both the mother and daughter cells,septin ring assembly,endoplasmic reticulum,molecular_function unknown,ICE2,YIL090W
161,"Alkaline ceramidase that also has reverse (CoA-independent) ceramide synthase activity, catalyzes both breakdown and synthesis of phytoceramide; overexpression confers fumonisin B1 resistance",ceramide metabolic process,Golgi membrane,hydrolase activity,YPC1,YBR183W
162,"Protein of unknown function that may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLL032C is not an essential gene",biological_process unknown,cytoplasm,molecular_function unknown,YLL032C,YLL032C
